current_views,current_comments,current_likes,prev_5_video_views,prev_5_video_likes,prev_5_video_comments,views_after_30_days,days_since_prev_5_uploads
116327,1403,12022,"[115958, 131960, 78152, 151378, 64833]","[4914, 12354, 6857, 17668, 1390]","[2756, 2328, 2154, 2937, 1048]",152788,"[10, 9, 9, 6, 4]"
275016,6361,30256,"[149651, 407694, 182310, 275349, 420623]","[12630, 11889, 4028, 6905, 34045]","[3045, 7131, 2309, 5037, 7532]",959938,"[9, 7, 4, 4, 2]"
254251,6747,27723,"[203399, 486724, 292047, 199609, 116125]","[18358, 39603, 14925, 19915, 3601]","[3910, 5759, 5956, 2085, 2822]",492703,"[9, 7, 7, 6, 5]"
276173,5427,6774,"[335946, 465399, 376061, 244318, 178750]","[38230, 39713, 44017, 19059, 18253]","[8508, 6251, 10943, 1355, 4328]",440778,"[10, 8, 4, 2, 2]"
270405,6735,24697,"[397486, 382984, 306765, 74460, 12490]","[40380, 19619, 13147, 4695, 1096]","[3848, 8429, 4556, 1853, 73]",883209,"[8, 6, 5, 3, 3]"
1260,27,103,"[13769, 281002, 492569, 98529, 84357]","[1237, 30538, 21219, 8927, 5008]","[109, 6768, 4521, 1115, 2072]",3736,"[10, 6, 6, 5, 3]"
1785,26,84,"[261503, 459653, 15822, 222285, 404907]","[8638, 23925, 622, 18268, 22547]","[3236, 10998, 170, 4372, 3994]",5151,"[8, 7, 5, 4, 2]"
968981,25922,20435,"[458945, 178387, 5220, 41225, 306567]","[13906, 13594, 414, 4301, 18937]","[8403, 5312, 95, 797, 9165]",1536430,"[7, 7, 5, 2, 2]"
465570,9663,10264,"[484634, 138057, 227612, 382738, 256420]","[49378, 11801, 10929, 38170, 16080]","[3881, 4118, 3560, 7095, 6461]",986821,"[7, 7, 4, 2, 2]"
177655,2800,10213,"[369945, 147907, 59224, 264819, 2905]","[34291, 3133, 1874, 29760, 304]","[6346, 3020, 724, 6573, 58]",276932,"[10, 8, 8, 5, 4]"
85006,1465,10167,"[234550, 54997, 102800, 22966, 10050]","[15801, 3947, 8141, 2224, 291]","[5728, 1049, 2233, 302, 153]",135022,"[10, 6, 5, 5, 3]"
917025,10495,25893,"[26722, 192875, 276020, 458845, 9931]","[2721, 17856, 22352, 35782, 1188]","[319, 4723, 5392, 13488, 255]",2207558,"[10, 9, 9, 7, 2]"
255081,5367,17973,"[307045, 294237, 404177, 93720, 36190]","[21647, 12806, 43445, 3307, 3135]","[3577, 4093, 11524, 1031, 266]",472376,"[7, 5, 4, 3, 2]"
214459,3603,5568,"[319180, 80084, 358603, 150142, 478301]","[32446, 9493, 40755, 8350, 28663]","[7548, 668, 4608, 1195, 7830]",496700,"[10, 9, 6, 6, 2]"
233,2,25,"[296635, 2407, 212086, 419654, 339123]","[35186, 84, 12014, 16746, 14360]","[3315, 50, 1463, 8104, 8641]",442,"[10, 9, 4, 3, 2]"
2926,47,322,"[39093, 296627, 112694, 481434, 425705]","[961, 23134, 10883, 22669, 36911]","[541, 5738, 1646, 6063, 11237]",4484,"[8, 8, 8, 8, 4]"
424352,5958,37037,"[338145, 65317, 358592, 163801, 426464]","[39034, 6362, 11316, 12418, 25995]","[8410, 399, 5475, 2122, 3637]",1048580,"[9, 9, 4, 4, 2]"
219576,6477,24042,"[165250, 23470, 322595, 485573, 412223]","[5238, 982, 32261, 34104, 37350]","[3180, 140, 8034, 3208, 11781]",309254,"[10, 8, 7, 5, 3]"
189309,951,6994,"[44202, 149917, 23187, 292225, 431109]","[2414, 4280, 1150, 9858, 28770]","[393, 2484, 244, 6858, 2452]",601915,"[10, 9, 8, 5, 4]"
735115,16487,87242,"[82080, 137835, 283396, 274265, 42869]","[5073, 7405, 7610, 16902, 1526]","[932, 3762, 8278, 7875, 421]",2124542,"[7, 6, 5, 3, 3]"
997751,27880,59905,"[62552, 237634, 141295, 356284, 65683]","[4549, 6545, 14867, 21853, 5914]","[1379, 5205, 2497, 4253, 1354]",1925626,"[10, 8, 6, 6, 2]"
351277,3529,14155,"[111161, 311949, 141225, 257264, 482050]","[10018, 35310, 9306, 11426, 53881]","[1868, 4740, 1953, 4006, 10528]",968213,"[10, 8, 8, 7, 4]"
182869,2309,8972,"[31903, 376191, 369722, 365298, 76918]","[2079, 7864, 36696, 17719, 1614]","[801, 6747, 8182, 10179, 1425]",548886,"[4, 3, 3, 3, 2]"
386100,2887,46030,"[235176, 117367, 318602, 394894, 199514]","[26687, 9514, 34796, 25412, 15914]","[1364, 1964, 6085, 2140, 4935]",930668,"[9, 8, 4, 4, 3]"
450609,11281,13371,"[329340, 142286, 266956, 107191, 117436]","[19675, 8308, 22899, 3145, 10987]","[1999, 1389, 5767, 799, 3440]",1069097,"[6, 6, 5, 5, 4]"
69233,800,3354,"[495998, 199579, 394083, 13917, 52828]","[38709, 10783, 11961, 533, 2882]","[12479, 1864, 3050, 249, 1002]",104281,"[9, 6, 3, 3, 2]"
525931,5773,59670,"[371458, 293564, 428909, 260462, 146583]","[44147, 24484, 24065, 22605, 11309]","[9720, 6031, 8943, 2745, 2256]",748637,"[10, 8, 8, 7, 2]"
229523,1199,11361,"[262144, 37380, 322753, 491025, 168905]","[21299, 1042, 29910, 44612, 16477]","[2127, 797, 3999, 11787, 1859]",597156,"[9, 5, 4, 2, 2]"
328769,3502,15532,"[472518, 399956, 480602, 108389, 311188]","[17662, 14520, 46323, 8583, 23300]","[7864, 9250, 12712, 1362, 3274]",550195,"[10, 10, 9, 6, 5]"
402493,11461,43307,"[196535, 290265, 423717, 491823, 276864]","[21596, 7782, 21273, 25586, 17565]","[1814, 5052, 9143, 8574, 5992]",1031941,"[9, 9, 8, 7, 2]"
197095,2191,22889,"[186671, 193878, 422946, 287413, 368339]","[8375, 19837, 19977, 34279, 19023]","[5034, 2895, 4716, 3062, 9670]",326436,"[9, 6, 4, 3, 2]"
564,6,57,"[216250, 143603, 86175, 151598, 41387]","[8971, 6953, 2258, 7640, 2155]","[6281, 2835, 2127, 929, 317]",1531,"[4, 3, 3, 3, 2]"
264145,1796,30494,"[447039, 389476, 469753, 107226, 183474]","[50329, 19074, 28111, 11158, 11710]","[4899, 7278, 12213, 1697, 1526]",541679,"[7, 5, 5, 3, 2]"
261677,6116,18736,"[342269, 456368, 114372, 226816, 446828]","[11177, 39788, 2328, 7025, 24613]","[2426, 11932, 3042, 5418, 4942]",335444,"[10, 6, 5, 4, 4]"
229565,2293,7571,"[283264, 430783, 462985, 161247, 198773]","[26754, 31025, 19681, 7893, 15053]","[5677, 12580, 12207, 1636, 4840]",576928,"[10, 9, 4, 2, 2]"
671,9,38,"[451186, 367070, 166135, 403757, 447181]","[43469, 33539, 14329, 8328, 15299]","[4774, 4331, 1438, 6160, 3076]",1998,"[10, 10, 9, 7, 2]"
282230,8122,28194,"[198363, 256750, 360008, 400178, 215150]","[16338, 8222, 9763, 41154, 14042]","[5235, 6569, 9840, 2483, 2076]",911449,"[10, 10, 5, 3, 2]"
185591,4476,11131,"[263747, 447759, 71345, 165511, 452758]","[19719, 23928, 5924, 4447, 15626]","[4920, 2930, 1927, 1415, 9891]",421974,"[9, 7, 6, 5, 3]"
346923,8075,24749,"[299113, 323220, 276552, 60769, 42731]","[31181, 6756, 24044, 3066, 2796]","[2198, 3895, 5757, 635, 905]",380424,"[10, 7, 3, 3, 2]"
169710,2789,15804,"[65489, 26284, 312098, 145377, 304359]","[3050, 771, 22919, 10150, 16653]","[603, 682, 8398, 2691, 3380]",199571,"[9, 6, 5, 4, 4]"
1979,40,103,"[377203, 136074, 98272, 48520, 262155]","[15510, 13548, 6674, 3572, 19552]","[4590, 1531, 503, 723, 4490]",6414,"[8, 7, 5, 3, 2]"
194495,4148,6211,"[25599, 97670, 476098, 259244, 214993]","[2326, 11024, 25558, 11857, 19910]","[580, 2776, 4824, 5867, 1434]",490826,"[10, 10, 3, 2, 2]"
114941,2630,11502,"[21156, 157954, 162603, 202921, 61074]","[1708, 15496, 10566, 14853, 3841]","[477, 4152, 2875, 3454, 824]",343414,"[9, 6, 6, 5, 2]"
206939,3412,18837,"[2887, 338910, 343010, 231872, 5325]","[330, 29585, 8710, 8236, 319]","[30, 4275, 10268, 4977, 149]",383695,"[10, 4, 3, 2, 2]"
643241,14931,35545,"[35344, 279464, 219577, 309320, 233533]","[2460, 28256, 19033, 21022, 15743]","[478, 2144, 5277, 8646, 2440]",1638317,"[9, 9, 7, 5, 2]"
208665,1669,8936,"[21749, 447174, 216765, 482212, 113846]","[537, 13603, 7419, 9736, 4021]","[422, 11397, 2132, 3386, 2645]",345544,"[8, 7, 4, 2, 2]"
306956,5360,11867,"[345129, 401367, 420612, 97696, 107896]","[21471, 21741, 12372, 4106, 4572]","[9796, 6346, 2545, 827, 752]",600606,"[9, 6, 5, 2, 2]"
200676,1490,23432,"[186754, 258655, 236992, 58581, 351031]","[17205, 16381, 23538, 5047, 21431]","[3286, 7547, 5104, 1618, 3323]",654513,"[7, 6, 4, 2, 2]"
113865,2685,8661,"[93659, 126090, 59344, 178621, 21933]","[10151, 13887, 2917, 6354, 765]","[1602, 1049, 998, 2955, 594]",285800,"[9, 8, 7, 6, 2]"
730134,6770,31476,"[379958, 446631, 449888, 68837, 29331]","[29005, 44552, 14943, 1877, 1137]","[8986, 8839, 8329, 773, 390]",1769707,"[10, 9, 6, 4, 3]"
199179,5819,10379,"[461649, 117409, 80487, 268458, 154460]","[28556, 12485, 3673, 20696, 16123]","[12934, 2013, 1689, 1362, 1750]",535408,"[7, 6, 5, 4, 2]"
252578,6880,5412,"[437541, 476997, 75014, 345119, 146836]","[47169, 41071, 3786, 23511, 13369]","[4490, 11195, 1402, 2554, 2779]",568374,"[10, 8, 5, 5, 4]"
671882,5202,43584,"[330205, 131096, 131677, 95406, 86879]","[10882, 5121, 13400, 8206, 7219]","[5103, 1954, 2930, 2242, 1542]",1555072,"[10, 10, 7, 6, 5]"
119160,3252,3520,"[119949, 160008, 493637, 139758, 326352]","[9283, 17610, 48383, 13784, 11746]","[1674, 1732, 6366, 2723, 4607]",128438,"[10, 10, 8, 6, 4]"
297588,2392,31008,"[282135, 451010, 67129, 490260, 459356]","[24152, 34191, 6999, 18789, 48139]","[5486, 5256, 794, 7235, 7580]",664953,"[10, 6, 5, 3, 2]"
197461,4786,8653,"[145094, 131156, 344333, 233948, 135144]","[4071, 12679, 27027, 6694, 14171]","[2709, 3677, 9612, 6553, 938]",335189,"[10, 8, 5, 4, 2]"
228605,4678,21459,"[184475, 326205, 24125, 150053, 359933]","[15757, 12386, 1774, 14220, 39445]","[4900, 2892, 414, 2544, 9886]",756191,"[6, 4, 2, 2, 2]"
374787,10235,37661,"[35584, 181998, 341861, 375901, 390392]","[1928, 20187, 37991, 29144, 35227]","[937, 5271, 5896, 7156, 6008]",440784,"[10, 8, 8, 6, 3]"
191021,4650,21505,"[236630, 206029, 11704, 366464, 252128]","[22202, 17669, 1400, 39163, 15557]","[3117, 4104, 297, 6187, 5910]",385053,"[10, 6, 5, 3, 2]"
314520,7897,30536,"[435094, 401086, 445466, 124005, 488768]","[31250, 24316, 45352, 4737, 12523]","[12486, 2043, 13105, 2879, 6457]",522392,"[10, 9, 9, 3, 2]"
674017,4708,34391,"[242038, 446219, 89500, 435634, 365091]","[8047, 32713, 7872, 11229, 9867]","[6472, 7320, 1483, 12465, 4748]",1442634,"[10, 10, 7, 3, 2]"
312357,1966,25689,"[254441, 340873, 82602, 323165, 287455]","[25394, 39916, 8593, 35843, 26111]","[7022, 3109, 1884, 7528, 4593]",620617,"[9, 9, 7, 5, 3]"
175826,4210,19585,"[496738, 42117, 91315, 317348, 26525]","[50689, 1066, 6663, 23378, 2198]","[12542, 1012, 2193, 5016, 615]",357271,"[10, 8, 7, 5, 3]"
408820,11938,8261,"[364291, 214185, 193970, 469509, 440926]","[40084, 14418, 20510, 52926, 12892]","[2694, 3619, 3821, 7346, 5803]",661713,"[8, 4, 4, 3, 3]"
156335,1048,9389,"[458265, 35806, 26092, 377775, 215559]","[38491, 2602, 1937, 37584, 8508]","[13542, 570, 750, 5507, 4320]",393237,"[10, 9, 8, 6, 4]"
264098,7702,22921,"[151757, 467699, 35199, 116299, 361820]","[6209, 40075, 2501, 5014, 21814]","[2174, 13883, 927, 1709, 10075]",529828,"[7, 6, 4, 3, 2]"
933404,10670,53172,"[324310, 109487, 80920, 331056, 485459]","[25106, 12911, 5285, 37662, 54097]","[3678, 1647, 1706, 5942, 3591]",2279073,"[8, 8, 5, 3, 2]"
249581,3674,16305,"[214265, 199252, 80442, 289058, 432464]","[16101, 12240, 2796, 14549, 19330]","[5363, 3715, 997, 4979, 4528]",683616,"[9, 8, 6, 2, 2]"
1341,9,75,"[79223, 182608, 315820, 364082, 58899]","[1742, 15451, 26273, 11302, 3900]","[2208, 1849, 5219, 6017, 1488]",2556,"[10, 5, 4, 3, 2]"
1264,10,49,"[445902, 342934, 472319, 258684, 148181]","[37254, 20970, 11741, 21385, 16789]","[12903, 6831, 2596, 1979, 3830]",2729,"[10, 10, 9, 7, 6]"
255305,6337,5384,"[326238, 281108, 425659, 293482, 6419]","[10625, 23590, 49097, 10622, 605]","[4247, 7147, 9547, 8262, 146]",523563,"[9, 9, 9, 2, 2]"
213520,4957,15274,"[438028, 369938, 76823, 427850, 101742]","[27843, 41421, 6967, 13753, 7927]","[12154, 9248, 1186, 12354, 1191]",561070,"[9, 6, 6, 5, 2]"
366878,6831,14651,"[414839, 295739, 93471, 349802, 338465]","[48863, 35290, 7457, 18593, 14318]","[4941, 1849, 1577, 2250, 7771]",1260486,"[9, 9, 6, 5, 5]"
304421,6219,28406,"[269765, 461682, 205062, 391590, 253203]","[8002, 32859, 15589, 13243, 28247]","[4528, 3960, 4673, 8452, 7361]",1045045,"[8, 6, 6, 6, 4]"
156499,1551,9854,"[29601, 241075, 382799, 7553, 137242]","[1860, 8444, 15153, 391, 9729]","[238, 3023, 4859, 38, 1901]",479541,"[9, 8, 8, 8, 3]"
294117,1935,11308,"[348438, 306378, 257530, 472235, 353895]","[20182, 30113, 24696, 47142, 40831]","[8672, 4653, 6576, 8366, 4226]",949028,"[10, 5, 3, 2, 2]"
398166,4335,47555,"[428297, 249988, 431997, 380858, 152759]","[38364, 13113, 18102, 10669, 13880]","[7532, 4826, 7261, 6502, 2945]",651402,"[10, 10, 9, 9, 9]"
2650,58,200,"[92362, 172277, 449549, 54529, 397893]","[2674, 7447, 18975, 5135, 10419]","[579, 3848, 8504, 842, 7712]",4332,"[10, 8, 7, 7, 5]"
227707,6600,26392,"[34997, 337789, 176546, 360966, 383303]","[3572, 28724, 16195, 35651, 35789]","[570, 3032, 2249, 3675, 5380]",668432,"[10, 6, 4, 3, 2]"
256864,7362,9996,"[162642, 112958, 391411, 180676, 12699]","[9534, 5713, 31108, 9623, 1175]","[3170, 976, 4993, 1903, 187]",485465,"[6, 6, 6, 5, 4]"
339382,5607,9069,"[335296, 331108, 94215, 415850, 498514]","[19395, 31350, 10210, 40204, 11675]","[8611, 8066, 2047, 9980, 14699]",394960,"[9, 8, 3, 2, 2]"
325593,2187,16098,"[262303, 50969, 377616, 154922, 226343]","[11156, 4525, 20732, 9374, 20577]","[7684, 461, 2479, 1529, 5290]",660316,"[9, 9, 7, 3, 2]"
112806,1755,3778,"[77139, 58717, 107748, 110757, 25669]","[8852, 6014, 12630, 4204, 1061]","[418, 1357, 2273, 1046, 636]",143588,"[5, 5, 4, 3, 3]"
148784,1887,13214,"[258462, 369233, 247635, 58975, 293718]","[15136, 18303, 5373, 2335, 17502]","[2568, 7406, 4015, 353, 3488]",292976,"[10, 4, 3, 3, 2]"
157000,1571,10591,"[491016, 43894, 355747, 301309, 249162]","[30972, 3812, 18081, 12337, 14651]","[9903, 940, 6921, 8949, 5550]",289507,"[10, 4, 4, 2, 2]"
234544,5470,21388,"[240449, 480214, 227019, 259729, 319889]","[18635, 45391, 26591, 28005, 10184]","[3237, 5472, 2138, 4835, 6024]",258326,"[10, 9, 6, 5, 2]"
130844,1721,5955,"[25180, 323611, 17362, 87938, 236453]","[1597, 29085, 1588, 8459, 24366]","[272, 2155, 251, 2319, 1643]",160355,"[9, 8, 7, 3, 3]"
399614,7013,28253,"[443203, 434900, 286042, 80406, 29017]","[10599, 10288, 27437, 6049, 2854]","[9944, 12041, 7764, 1986, 489]",1017087,"[10, 8, 6, 4, 3]"
289,3,21,"[268554, 71520, 439881, 197684, 249420]","[22816, 4561, 50590, 18009, 15630]","[4341, 1820, 7044, 3539, 3065]",769,"[9, 8, 8, 5, 2]"
351068,5014,13693,"[315906, 417596, 360718, 270203, 37049]","[20328, 22689, 14916, 29964, 4038]","[5254, 3492, 1924, 4312, 222]",1107930,"[10, 8, 8, 4, 4]"
256106,4163,20838,"[229577, 194529, 133249, 356422, 284536]","[25558, 12225, 7700, 15373, 23780]","[5082, 3246, 851, 9966, 8396]",470877,"[8, 4, 3, 3, 2]"
232281,3698,12205,"[207860, 400767, 56510, 126371, 108659]","[20471, 8486, 5016, 6559, 4609]","[5202, 2897, 605, 1275, 1683]",362213,"[8, 6, 5, 2, 2]"
289908,8682,16132,"[251899, 317975, 449647, 18940, 58907]","[29152, 11992, 15517, 1176, 1471]","[5383, 2205, 2900, 324, 1705]",682247,"[10, 8, 5, 3, 2]"
197547,3921,4581,"[448025, 103276, 57218, 102078, 69309]","[53755, 10349, 3598, 8948, 7054]","[7994, 1220, 586, 1263, 1816]",630253,"[7, 7, 4, 2, 2]"
183364,4349,8413,"[213402, 323294, 133874, 412733, 42811]","[7184, 17441, 15298, 29009, 4997]","[1541, 5476, 878, 8566, 298]",266190,"[8, 7, 6, 5, 3]"
324510,6627,36485,"[320208, 314140, 292542, 482790, 379303]","[34544, 24845, 32003, 15269, 24832]","[5032, 4212, 1464, 13168, 9271]",820476,"[8, 8, 7, 6, 5]"
162139,4725,10776,"[175036, 331119, 83258, 158849, 383057]","[14375, 8163, 6725, 9124, 36292]","[4411, 6226, 419, 3321, 9086]",288669,"[8, 6, 6, 4, 3]"
739780,10167,87979,"[37948, 215878, 169531, 443241, 365623]","[2244, 22046, 6735, 10999, 35892]","[703, 3797, 2001, 3017, 6241]",2526807,"[10, 10, 5, 3, 2]"
124184,2461,4548,"[62090, 439202, 121782, 310527, 186890]","[2940, 33855, 9654, 30282, 15237]","[1231, 12213, 1985, 3301, 1690]",362022,"[9, 7, 4, 4, 3]"
906,16,73,"[7364, 351958, 342414, 29093, 438373]","[737, 19498, 26188, 2923, 19234]","[199, 10145, 2045, 188, 3188]",2103,"[8, 6, 5, 2, 2]"
341865,10050,35454,"[412108, 360140, 267365, 291841, 157745]","[18587, 15458, 6189, 17814, 10396]","[11997, 9280, 2451, 7285, 1491]",432763,"[10, 9, 4, 2, 2]"
524826,9977,16098,"[353112, 190587, 351773, 198436, 443897]","[32046, 11994, 10249, 23065, 28067]","[7639, 3484, 2239, 5718, 11014]",645782,"[10, 10, 5, 4, 2]"
1989,34,211,"[238659, 291339, 358614, 182799, 211564]","[5235, 16195, 10761, 9144, 5681]","[6682, 4743, 3490, 3586, 2096]",2887,"[9, 8, 7, 6, 5]"
239962,4331,17936,"[427513, 408844, 164751, 199089, 255113]","[23253, 28872, 4308, 7051, 10702]","[10866, 9544, 1619, 2372, 7297]",678608,"[8, 7, 5, 2, 2]"
236057,1811,27151,"[356295, 352227, 345258, 153043, 260014]","[25934, 25643, 33204, 8552, 23838]","[6930, 10230, 5051, 4213, 6634]",573600,"[10, 7, 6, 6, 6]"
258406,5026,29479,"[493331, 93407, 182618, 110002, 325140]","[28549, 2139, 17045, 10908, 24140]","[7435, 2454, 1792, 1758, 1824]",781342,"[10, 9, 9, 7, 7]"
2837,35,200,"[216211, 405574, 474254, 464147, 43824]","[5828, 31810, 38297, 12167, 2639]","[3318, 5412, 8984, 6335, 675]",8035,"[9, 9, 5, 3, 2]"
688699,11875,59924,"[176169, 142464, 286575, 100675, 287298]","[12048, 7602, 8448, 7645, 8986]","[1568, 4210, 3701, 1974, 3391]",1460634,"[8, 8, 7, 6, 4]"
253889,7289,20011,"[410701, 224043, 108551, 283712, 276175]","[42283, 20190, 12915, 32214, 20247]","[9753, 4313, 2157, 2138, 1396]",701933,"[8, 7, 6, 5, 2]"
542580,7839,43345,"[463702, 80585, 400676, 17083, 130783]","[20253, 5194, 33386, 1429, 12971]","[5646, 1954, 6412, 371, 2143]",1786809,"[9, 6, 6, 2, 2]"
326989,1963,27474,"[471147, 380023, 428478, 310278, 153004]","[16841, 14688, 50493, 28460, 6892]","[9316, 6974, 11188, 7208, 3946]",398568,"[10, 9, 7, 3, 3]"
209084,2414,13599,"[112430, 111129, 26440, 255302, 228556]","[5267, 12366, 1316, 19279, 23490]","[1692, 2857, 610, 7153, 3004]",233678,"[10, 7, 6, 5, 4]"
168720,4242,18587,"[153052, 312782, 9943, 332613, 132562]","[18095, 35872, 1018, 30122, 11444]","[1162, 3686, 51, 2805, 2118]",206757,"[7, 7, 5, 2, 2]"
220449,1696,6949,"[53534, 97931, 439258, 396923, 290878]","[4208, 9530, 14748, 39797, 23561]","[1580, 2083, 10060, 3921, 7045]",259818,"[8, 4, 3, 2, 2]"
336501,2492,16203,"[404189, 212411, 386020, 254295, 347675]","[39888, 17108, 17142, 9904, 37074]","[9348, 2194, 7866, 4116, 3117]",738299,"[9, 9, 8, 5, 3]"
317983,7434,19455,"[89260, 488488, 135383, 161940, 495326]","[4206, 32855, 11461, 17870, 55030]","[651, 6894, 3361, 3656, 2802]",763307,"[10, 8, 7, 7, 3]"
400872,5719,35566,"[135095, 336887, 391534, 349347, 427503]","[2833, 29440, 35723, 28955, 23167]","[2464, 4945, 8815, 6843, 3011]",1281056,"[7, 6, 6, 5, 5]"
657175,7527,69914,"[63137, 453707, 393504, 153584, 328957]","[1515, 9861, 33319, 11373, 24433]","[1562, 6530, 11760, 4398, 1751]",2252842,"[9, 9, 8, 6, 3]"
882819,15258,83454,"[471498, 27928, 133185, 310987, 73659]","[16383, 1082, 12887, 13147, 8611]","[9855, 623, 1391, 8495, 1598]",2225808,"[10, 8, 8, 7, 4]"
1482,42,122,"[288221, 160219, 442610, 91507, 202207]","[16313, 13660, 22381, 4011, 13914]","[2998, 2738, 12798, 2378, 5771]",2409,"[7, 6, 4, 3, 3]"
430565,10951,24301,"[444241, 397269, 381004, 270788, 370222]","[10649, 13793, 44407, 17928, 39057]","[7385, 8549, 2134, 3045, 5889]",555439,"[8, 7, 6, 4, 3]"
2957,76,184,"[297227, 55060, 496321, 373278, 408901]","[21405, 6532, 57972, 22949, 36195]","[3474, 485, 12015, 5936, 3854]",6579,"[10, 9, 7, 4, 2]"
239303,5037,23744,"[253037, 90173, 415247, 280514, 443263]","[28980, 9823, 39522, 5738, 26939]","[3863, 2467, 2757, 5127, 3724]",717127,"[9, 9, 6, 4, 2]"
2770,76,226,"[320127, 38957, 85440, 409096, 409224]","[7743, 2742, 2218, 24238, 44882]","[3533, 882, 1073, 2504, 7741]",8267,"[10, 9, 8, 8, 5]"
258688,3191,10661,"[123939, 393039, 462595, 118689, 266658]","[9122, 12494, 39402, 3153, 8009]","[1645, 5612, 7655, 1599, 1558]",570495,"[8, 3, 3, 2, 2]"
127631,1241,8708,"[379423, 113532, 341934, 5709, 61902]","[29794, 4288, 7987, 307, 3884]","[2483, 2880, 4650, 158, 548]",427133,"[9, 9, 8, 7, 5]"
305336,7188,16641,"[213049, 260166, 95064, 296096, 481678]","[10631, 13245, 2832, 7508, 37611]","[5382, 1535, 1821, 4232, 13155]",980740,"[10, 10, 10, 3, 2]"
308984,5963,36431,"[229566, 197118, 410860, 419619, 260331]","[10446, 7448, 15327, 34257, 19879]","[2158, 5865, 6387, 3116, 2086]",1042867,"[10, 10, 6, 5, 2]"
916456,21486,89221,"[176844, 395456, 215616, 59288, 32111]","[16811, 25427, 21424, 4488, 3648]","[1381, 3270, 5619, 1544, 538]",1729241,"[9, 6, 4, 4, 2]"
368584,7995,12642,"[261947, 246115, 140070, 78210, 58956]","[14941, 28475, 13965, 5021, 4373]","[5287, 5326, 968, 2216, 1174]",972144,"[6, 6, 5, 5, 2]"
121943,3368,5423,"[291616, 327029, 121757, 168685, 141721]","[19420, 37812, 13158, 16323, 9458]","[5737, 8486, 2264, 3956, 3509]",379097,"[9, 8, 6, 6, 2]"
470,8,11,"[484923, 366772, 12597, 380184, 150411]","[31921, 9808, 1472, 44569, 12196]","[7179, 6528, 303, 4022, 2413]",637,"[9, 7, 6, 3, 2]"
253072,2760,12660,"[26476, 42469, 432041, 253259, 450457]","[1959, 2760, 19115, 21217, 16379]","[320, 1042, 7133, 7557, 6604]",837564,"[10, 10, 3, 3, 2]"
267809,3000,13319,"[203833, 122941, 218790, 355907, 255829]","[23762, 3369, 10162, 14256, 27368]","[1932, 1561, 4068, 7305, 6448]",747446,"[10, 8, 8, 4, 3]"
362295,4245,14478,"[78264, 391499, 456017, 485307, 379701]","[5600, 13731, 11149, 43593, 35397]","[1292, 8582, 8416, 10067, 7562]",770931,"[10, 8, 7, 7, 3]"
